Participant_ID,Sex,Age,Musician_type,Questionnaire,Excerpt_id,a l'aise,acceleration du rythme corporel ou cardiaque,aerien,arret du temps,bercement,bien-etre corporel,bouger,calme,chair de poule (sensation de),chaleur,danser,decouvrir,dehanchement,dynamique,echapper a quelque chose,eclatant,effondre,emouvant,enivrant,enveloppant,epanouissement,esperer,evenement important,fete,flotter,gambader,gestes larges,grandeur,grands espaces,harmonieux,image (dans la tete),imaginer,immense,impressionnant,inspire,intense,interieur,interieur de soi-meme,interiorisation,intime,jambes qui bougent,magique,montee en puissance,mouvement,mouvement du corps,mouvemente,onduler,paisible,pensees vagabondes,petillant,pied bat la mesure,planer,poesie,profond,rassurant,reconfort,reflechir,"respiration reguliere et calme, lente et profonde",rever,rire,romantisme,rythme,s'amplifier,s'embrasser,s'en aller,s'envoler,s'evader,s'ouvrir,sauts,se balader,se blottir,se projeter,se promener,se retrouver,seduire,sensation,sensuel,serrement de coeur,songeur,sourire,souvenirs,tortueux,touche l'ensemble du corps,tournoyer,vibrer,voyage
R_238fQ63KfhGX4Wq,F,20,2,2,gubaidulina_rejoice,5,5,5,1,2,1,7,0,1,3,6,6,0,8,0,3,1,2,2,0,4,6,3,7,0,7,7,4,5,1,6,7,4,1,2,3,0,0,1,0,7,6,2,7,5,6,0,0,3,2,2,2,4,0,1,0,1,0,4,6,0,6,2,0,0,0,1,0,6,3,1,3,1,1,0,7,0,1,0,6,3,1,5,0,3,5
R_238fQ63KfhGX4Wq,F,20,2,2,liszt_liebestraum,7,1,4,1,7,5,0,6,3,7,1,2,3,1,0,0,0,6,5,5,6,1,0,0,5,0,1,0,7,7,7,5,0,1,3,2,0,1,6,5,0,3,1,1,1,1,1,7,6,1,7,3,6,7,3,6,6,8,4,0,6,2,1,3,1,3,5,5,0,1,3,4,3,6,7,3,4,5,3,7,4,0,4,1,3,5
R_238fQ63KfhGX4Wq,F,20,2,2,part_pilgrim,0,0,0,3,4,0,0,0,2,0,0,2,0,0,2,0,7,3,1,0,0,0,1,0,2,0,0,1,0,0,1,4,1,1,0,1,3,5,2,1,0,1,0,1,0,0,1,0,5,0,0,0,1,3,0,0,4,2,2,0,0,1,2,0,1,0,2,0,0,0,0,1,0,0,0,3,0,3,3,0,1,1,2,0,3,0
R_238fQ63KfhGX4Wq,F,20,2,2,williams_march,3,8,6,0,0,0,3,0,8,1,3,2,0,8,6,2,0,7,8,0,6,7,8,0,0,1,7,4,7,0,8,7,7,6,2,7,0,0,1,0,3,7,8,7,6,8,0,0,2,2,4,2,0,4,0,0,1,0,0,0,2,7,8,1,1,2,1,4,3,0,0,6,0,0,0,8,0,6,2,1,6,2,7,0,4,2
R_248gd3OMdjsKTHU,F,23,3,2,bach_air,6,5,6,3,6,5,6,7,5,7,4,6,3,5,1,5,1,5,8,6,6,5,3,3,6,5,4,6,5,6,7,6,6,4,6,5,5,1,5,3,4,7,3,6,5,6,6,5,7,5,6,6,4,4,6,6,5,3,6,4,5,5,3,4,4,6,6,6,5,5,6,6,5,2,5,5,5,3,7,6,7,2,5,5,7,4
R_248gd3OMdjsKTHU,F,23,3,2,bach_andanteunpoco,7,4,5,7,6,6,4,7,4,5,3,6,1,1,6,4,3,5,4,5,5,7,4,1,6,6,7,2,7,7,5,6,1,4,4,5,6,4,3,7,4,3,1,4,2,3,7,8,5,4,2,5,7,5,5,4,5,7,6,1,5,7,4,5,5,6,5,4,1,6,2,5,7,2,5,6,4,6,7,5,1,4,3,6,3,5
R_248gd3OMdjsKTHU,F,23,3,2,bach_fugueindsharpminor,6,3,6,6,6,5,4,8,5,4,2,5,2,1,7,5,4,7,5,5,6,6,4,2,7,4,5,5,6,6,2,4,5,5,5,6,3,6,5,7,5,5,6,3,2,3,6,7,5,3,5,6,7,7,5,7,6,7,5,1,6,3,4,6,4,6,6,4,2,5,7,4,4,3,6,6,4,6,5,5,2,6,6,4,7,4
R_248gd3OMdjsKTHU,F,23,3,2,bach_passacaglia,5,6,5,7,5,5,3,5,7,1,1,1,3,3,3,5,7,7,6,6,1,6,6,2,5,3,3,7,2,6,8,5,6,7,6,6,7,6,6,6,3,5,7,3,3,4,5,3,4,1,1,5,5,6,2,3,6,6,6,1,2,5,7,2,3,5,3,2,2,1,1,6,3,3,1,6,3,7,6,2,5,4,5,5,7,3
R_248gd3OMdjsKTHU,F,23,3,2,beethoven_allegretto,6,7,5,6,7,7,1,7,7,5,1,6,0,1,5,4,5,7,7,5,5,4,5,1,6,2,3,5,4,6,4,5,5,7,6,8,6,7,7,7,1,5,8,1,1,4,3,5,6,3,1,6,6,7,5,5,5,7,4,3,3,4,8,4,4,4,5,3,1,2,5,3,1,2,2,6,3,6,6,3,4,5,5,3,7,2
R_248gd3OMdjsKTHU,F,23,3,2,geminiani_adagio,5,2,5,5,5,4,4,6,1,3,4,4,3,5,3,2,2,3,2,3,3,5,3,1,6,5,5,3,2,5,5,5,4,2,4,3,4,4,4,3,2,2,3,5,4,5,4,5,5,1,1,5,3,3,5,4,3,5,1,1,5,6,1,2,5,3,4,3,2,5,2,3,5,3,3,3,4,1,5,4,5,2,2,2,2,4
R_248gd3OMdjsKTHU,F,23,3,2,gubaidulina_rejoice,1,5,5,3,1,1,5,0,1,5,6,5,3,5,6,3,2,1,6,2,5,2,1,1,1,5,2,5,5,1,2,1,5,3,2,5,5,2,2,5,5,3,3,6,6,6,1,0,4,7,2,2,3,2,1,2,5,1,5,3,1,4,5,1,5,5,5,4,6,5,2,3,2,3,3,3,1,3,1,3,2,8,4,6,1,4
